구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,"31,348","12,693",251,157,"12,285",363,"11,922"
부산,"16,956","7,754",144,87,"7,523",220,"7,303"
대구/경북,"20,039","9,198",200,115,"8,883",302,"8,581"
경인,"25,613","11,300",187,115,"10,998",339,"10,659"
광주/전남,"12,647","6,111",114,63,"5,934",202,"5,732"
대전/충남,"13,027","6,217",112,55,"6,050",206,"5,844"
강원,"3,661","2,126",51,39,"2,036",78,"1,958"
충북,"5,833","2,859",39,28,"2,792",81,"2,711"
전북,"7,046","3,488",60,43,"3,385",94,"3,291"
경남,"12,504","5,497",79,43,"5,375",183,"5,192"
제주,"2,061","1,012",18,9,985,46,939
인천,"22,042","10,059",174,95,"9,790",420,"9,370"
경기/북부,"14,793","6,433",150,49,"6,234",278,"5,956"
강원/영동,"2,160","1,179",28,4,"1,147",34,"1,113"
